
03.10.2016	14:10:00
V	I	G
[V]	[A]	[W/m²]
20,1564	0,0159	809,0116
20,2013	0,0154	809,1180
20,1885	0,0154	809,2243
20,1692	0,0137	809,1180
20,1788	0,0127	809,1889
20,1692	0,0122	809,0825
20,1564	0,0142	809,0825
20,1724	0,0137	809,0116
20,1981	0,0147	809,0471
20,1596	0,0139	809,1180
20,1564	0,0130	809,1889
20,1692	0,0122	809,0471
20,1853	0,0122	809,0471
20,1403	0,0125	808,8698
20,1820	0,0117	808,8698
20,1692	0,0139	808,9761
20,1692	0,0142	809,0116
20,1724	0,0127	809,0116
20,2238	0,0112	809,0825
20,1853	0,0122	809,1180
20,1596	0,0105	809,0116
20,1853	0,0125	809,0825
20,1692	0,0120	809,0471
20,1692	0,0125	809,0471
20,1981	0,0117	809,0471
20,2302	0,0137	809,1889
20,1628	0,0122	809,2243
20,1531	0,0103	809,1180
20,1820	0,0100	809,0825
20,1724	0,0100	809,0825
20,1499	0,0108	809,0471
20,1949	0,0110	808,9761
20,1724	0,0127	809,0471
20,1564	0,0127	809,0825
20,1981	0,0120	809,0825
20,2077	0,0100	809,1180
20,1724	0,0100	809,0471
20,1724	0,0095	808,9761
20,1788	0,0108	808,9761
20,1820	0,0110	808,9761
20,1788	0,0120	809,0116
20,2013	0,0100	809,0471
20,2109	0,0103	809,1889
20,1724	0,0093	809,0471
20,1403	0,0088	809,0116
20,1820	0,0093	808,9761
20,2013	0,0093	809,0116

03.10.2016	14:40:00
V	I	G
[V]	[A]	[W/m²]
1,7501	4,6452	807,3452
2,3698	4,6376	807,3452
2,9478	4,6298	807,3098
3,5066	4,6234	807,3098
4,0942	4,6132	807,2034
4,6818	4,6051	807,3098
5,2181	4,5958	807,3452
5,8411	4,5826	807,3098
6,4127	4,5726	807,3452
6,9714	4,5599	807,3452
7,5398	4,5459	807,2034
8,0792	4,5276	807,1679
8,6572	4,5125	807,2034
9,1967	4,4905	807,1679
9,7330	4,4650	807,2034
10,3752	4,4350	807,2389
10,8440	4,3991	807,3452
11,3835	4,3541	807,2389
11,9230	4,3023	807,2389
12,4432	4,2363	807,2389
12,9120	4,1581	807,2389
13,4033	4,0647	807,1679
13,9235	3,9574	807,3452
14,3249	3,8316	807,3098
14,7745	3,6867	807,3098
15,1887	3,5344	807,3098
15,5195	3,3760	807,2034
15,8920	3,2001	807,1325
16,2484	3,0175	807,1325
16,5534	2,8367	807,1325
16,8264	2,6490	807,0970
17,1475	2,4691	807,1679
17,4333	2,2924	807,2389
17,6035	2,1228	807,1679
17,8154	1,9600	807,0970
17,9856	1,8097	807,1325
18,1526	1,6650	806,9907
18,3260	1,5284	806,9552
18,5058	1,4048	807,0970
18,6311	1,2906	807,0970
18,7467	1,1829	807,1325
18,8590	1,0858	807,1679
18,9490	0,9949	807,2034
18,9939	0,9123	807,0970
19,1127	0,8368	807,0616
19,1962	0,7679	807,0970
19,2380	0,7043	807,0970
19,3279	0,6464	807,1679
19,4242	0,5934	807,2034
19,4563	0,5452	807,3452
19,4756	0,5000	807,2034
19,5205	0,4599	807,2034
